"SETTINGS_KEYMOVELEFT","Déplacer/Se décaler vers la gauche",""
"SETTINGS_KEYMOVERIFHT","Déplacer/Se décaler vers la droite",""
"SETTINGS_KEYMOVEUP","Déplacer/Se décaler vers le haut",""
"SETTINGS_KEYMOVEDOWN","Déplacer/Se décaler vers le bas",""
"SETTINGS_KEYROTATELEFT","Tourner/Regarder à gauche",""
"SETTINGS_KEYROTATERIGHT","Tourner/Regarder à droite",""
"SETTINGS_KEYROTATEUP","Tourner/Regarder vers le haut",""
"SETTINGS_KEYROTATEDOWN","Tourner/Regarder vers le bas",""
"SETTINGS_KEYUUITOGGLE","Basculer le panneau principal (nécessite le mod UUI)",""
"SETTINGS_SMOOTRANSITION","Appliquer une transition fluide",""
"SETTINGS_SMOOTRANSITION_DETAIL","Lorsque la caméra se déplace, tourne ou zoome, la transition peut être fluide ou instantanée.
Activer cette option peut donner l'impression que la caméra est en retard.",""
"SETTINGS_TRANSSPEED","Taux de transition fluide",""
"SETTINGS_MINTRANSDISTANCE","Distance minimale pour la transition fluide",""
"SETTINGS_MINTRANSDISTANCE_DETAIL","En mode Suivi, la caméra doit se déplacer instantanément avec la cible même lorsque la transition fluide est activée.
Ce paramètre définit la distance minimale pour commencer à appliquer la transition fluide.",""
"SETTINGS_MAXTRANSDISTANCE","Distance maximale pour la transition fluide",""
"SETTINGS_MAXTRANSDISTANCE_DETAIL","Lorsque la position cible de la caméra est trop éloignée, la transition fluide prend trop de temps.
Ce nombre définit la distance à laquelle abandonner la transition.",""
"SETTINGS_CAMNEARCLIPPLANE","Plan de coupe proche de la caméra",""
"SETTINGS_FOVIEWSCROLLFACTOR","Facteur d'échelle du champ de vision par défilement",""
"SETTINGS_FOVIEWSCROLLFACTOR_DETAIL","Ajuste la vitesse de zoom avec la molette dans la caméra FPS",""
"SETTINGS_LODOPT","Niveau d'optimisation LOD",""
"SETTINGS_LODOPT_DETAIL","Lorsque la caméra FPS est activée :
-[Désactivé] Désactive l'optimisation LOD
-[Faible] Optimise les distances LOD uniquement pour les citoyens, véhicules, arbres et routes éloignés
-[Moyen] Optimise davantage les accessoires et bâtiments éloignés par rapport au niveau précédent
-[Élevé] Réduit davantage les distances LOD par rapport au niveau précédent",""
"SETTINGS_SHADOWSOPT","Appliquer l'optimisation de distance des ombres",""
"SETTINGS_SHADOWSOPT_DETAIL","Lorsque la caméra FPS est activée, effectue un ajustement de la distance des ombres.",""
"VEHICLE_AITYPE_BUS","Bus",""
"VEHICLE_AITYPE_TRAM","Tramway",""
"VEHICLE_AITYPE_METRO","Métro",""
"VEHICLE_AITYPE_TRAIN","Train",""
"VEHICLE_AITYPE_FLIGHT","Avion",""
"VEHICLE_AITYPE_BLIMP","Dirigeable",""
"VEHICLE_AITYPE_GONDOLA","Télécabine",""
"VEHICLE_AITYPE_TROLLEYBUS","Trolleybus",""
"VEHICLE_AITYPE_FERRY","Ferry",""
"VEHICLE_AITYPE_SHIP","Navire",""
"VEHICLE_AITYPE_HELICOPTER","Hélicoptère",""
"VEHICLE_AITYPE_MEDICAL","Médical",""
"VEHICLE_AITYPE_DISASTERRESPONSE","Intervention en cas de catastrophe",""
"VEHICLE_AITYPE_FIREFIGHTING","Lutte contre l'incendie",""
"VEHICLE_AITYPE_POLICE","Police",""
"VEHICLE_AITYPE_GARBAGE","Déchets",""
"VEHICLE_AITYPE_DEATHCARE","Services funéraires",""
"VEHICLE_AITYPE_MAINTENANCE","Maintenance",""
"VEHICLE_AITYPE_POSTAL","Postal",""
"VEHICLE_AITYPE_SNOWPLOWING","Déneigement",""
"VEHICLE_AITYPE_WATERPUMPING","Pompage d'eau",""
"VEHICLE_AITYPE_BANK","Banque",""
"VEHICLE_AITYPE_TAXI","Taxi",""
"UNKNOWN","(Inconnu)",""
"INVALID","(Invalide)",""
"INFO_HUMAN_OCCUPATION","Profession",""
"INFO_HUMAN_HOME","Domicile",""
"INFO_HUMAN_HOMELESS","(Sans-abri)",""
"INFO_HUMAN_HOTEL","Hôtel",""
"INFO_VEHICLE_OWNER","Propriétaire",""
"INFO_VEHICLE_LOAD","Charge",""
"INFO_VEHICLE_WORKSHIFT","Poste de travail",""
"INFO_VEHICLE_PUBLICTRANSIT_TRANSIT","Ligne",""
"INFO_VEHICLE_PUBLICTRANSIT_IRREGULAR","(Irregular)",""
"INFO_VEHICLE_PUBLICTRANSIT_PASSENGER","Passager",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTATIION","Prochaine station",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTOP","Prochain arrêt",""
"INFO_VEHICLE_SERVICE","Service",""
"INFO_DISTRICT","District",""
"INFO_DLCDISTRICT_PARK","Parc",""
"INFO_DLCDISTRICT_INDUSTRY","Zone industrielle",""
"INFO_DLCDISTRICT_CAMPUS","Zone de campus",""
"INFO_DLCDISTRICT_AIRPORT","Zone aéroportuaire",""
"INFO_DLCDISTRICT_PEDZONE","Zone piétonne",""
"INFO_ROAD","Route",""
"INFO_VSTATUS","État du véhicule",""
"INFO_TIME","Heure : ",""
"INFO_NAME","Nom",""
"INFO_STATUS","État",""
"INFO_FOLLOW","Mode suivi",""
"INFO_OFFSETSAVED","Paramètre de type enregistré pour « {0} »",""
"INFO_RACE_EVENTROUTE","Parcours d'événement",""
"INFO_RACE_DRIVER","Pilote",""
"INFO_RACE_TEAM","Équipe",""
"INFO_RACE_POS","Position",""
"INFO_RACE_PROGRESS","Progression",""
"INFO_ACMEPOSSAVED","Position actuelle enregistrée dans l'emplacement ACME {0}",""
"FOLLOWBTN_TOOLTIP","Démarrer le mode suivi",""
"WALKTHRUBTN_TEXT","Démarrer la visite guidée",""
"ALLSETTINGSBTN_TEXT","Tous les paramètres",""
"MAINPANELBTN_TOOLTIP","Caméra FPS","That is the localized short name of this mod."
