"SETTINGS_TRANSSPEED","Velocità transizione fluida",""
"SETTINGS_MINTRANSDISTANCE","Distanza minima per transizione fluida",""
"SETTINGS_MINTRANSDISTANCE_DETAIL","In modalità Segui, la fotocamera deve muoversi istantaneamente con il bersaglio anche quando la transizione fluida è abilitata.
Questo imposta la distanza minima per iniziare ad applicare la transizione fluida.",""
"SETTINGS_MAXTRANSDISTANCE","Distanza massima per transizione fluida",""
"SETTINGS_MAXTRANSDISTANCE_DETAIL","Quando la posizione del bersaglio della fotocamera è troppo lontana, la transizione fluida richiede troppo tempo.
Questo numero imposta la distanza per rinunciare alla transizione.",""
"SETTINGS_CAMNEARCLIPPLANE","Piano di taglio vicino della fotocamera",""
"SETTINGS_FOVIEWSCROLLFACTOR","Fattore di scala del campo visivo tramite scorrimento",""
"SETTINGS_FOVIEWSCROLLFACTOR_DETAIL","Regola la velocità di zoom della rotellina di scorrimento nella Fotocamera FPS",""
"SETTINGS_LODOPT","Livello di ottimizzazione LOD",""
"SETTINGS_LODOPT_DETAIL","Quando la Fotocamera FPS è abilitata:
-[Disabilitato] Disabilita l'ottimizzazione LOD
-[Basso] Ottimizza le distanze LOD solo per cittadini, veicoli, alberi e strade distanti
-[Medio] Ottimizza ulteriormente oggetti di scena e edifici distanti basandosi sul livello precedente
-[Alto] Riduce ulteriormente le distanze LOD basandosi sul livello precedente",""
"SETTINGS_SHADOWSOPT","Applica ottimizzazione distanza ombre",""
"SETTINGS_SHADOWSOPT_DETAIL","Quando la Fotocamera FPS è abilitata, esegue la regolazione della distanza delle ombre.",""
"VEHICLE_AITYPE_BUS","Autobus",""
"VEHICLE_AITYPE_TRAM","Tram",""
"VEHICLE_AITYPE_METRO","Metropolitana",""
"VEHICLE_AITYPE_TRAIN","Treno",""
"VEHICLE_AITYPE_FLIGHT","Aereo",""
"VEHICLE_AITYPE_BLIMP","Dirigibile",""
"VEHICLE_AITYPE_GONDOLA","Funivia",""
"VEHICLE_AITYPE_TROLLEYBUS","Filobus",""
"VEHICLE_AITYPE_FERRY","Traghetto",""
"VEHICLE_AITYPE_SHIP","Nave",""
"VEHICLE_AITYPE_HELICOPTER","Elicottero",""
"VEHICLE_AITYPE_MEDICAL","Medico",""
"VEHICLE_AITYPE_DISASTERRESPONSE","Soccorso disastri",""
"VEHICLE_AITYPE_FIREFIGHTING","Antincendio",""
"VEHICLE_AITYPE_POLICE","Polizia",""
"VEHICLE_AITYPE_GARBAGE","Rifiuti",""
"VEHICLE_AITYPE_DEATHCARE","Servizi funebri",""
"VEHICLE_AITYPE_MAINTENANCE","Manutenzione",""
"VEHICLE_AITYPE_POSTAL","Postale",""
"VEHICLE_AITYPE_SNOWPLOWING","Spalatura della neve",""
"VEHICLE_AITYPE_WATERPUMPING","Pompaggio dell'acqua",""
"VEHICLE_AITYPE_BANK","Banca",""
"VEHICLE_AITYPE_TAXI","Taxi",""
"UNKNOWN","(Sconosciuto)",""
"INVALID","(Non valido)",""
"INFO_HUMAN_OCCUPATION","Occupazione",""
"INFO_HUMAN_HOME","Casa",""
"INFO_HUMAN_HOMELESS","(Senza fissa dimora)",""
"INFO_HUMAN_HOTEL","Hotel",""
"INFO_VEHICLE_OWNER","Proprietario",""
"INFO_VEHICLE_LOAD","Carico",""
"INFO_VEHICLE_WORKSHIFT","Turno di lavoro",""
"INFO_VEHICLE_PUBLICTRANSIT_TRANSIT","Linea",""
"INFO_VEHICLE_PUBLICTRANSIT_IRREGULAR","(Irregolare)",""
"INFO_VEHICLE_PUBLICTRANSIT_PASSENGER","Passeggero",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTATIION","Prossima stazione",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTOP","Prossima fermata",""
"INFO_VEHICLE_SERVICE","Servizio",""
"INFO_DISTRICT","Distretto",""
"INFO_DLCDISTRICT_PARK","Parco",""
"INFO_DLCDISTRICT_INDUSTRY","Zona industriale",""
"INFO_DLCDISTRICT_CAMPUS","Zona del campus",""
"INFO_DLCDISTRICT_AIRPORT","Zona aeroportuale",""
"INFO_DLCDISTRICT_PEDZONE","Zona pedonale",""
"INFO_ROAD","Strada",""
"INFO_VSTATUS","Stato del veicolo",""
"INFO_TIME","Ora: ",""
"INFO_SLOPE","Pendenza: ",""
"INFO_NAME","Nome",""
"INFO_STATUS","Stato",""
"INFO_FOLLOW","Modalità Segui",""
"INFO_OFFSETSAVED","Impostazione del tipo salvata per ""{0}""",""
"INFO_RACE_EVENTROUTE","Percorso dell'evento",""
"INFO_RACE_DRIVER","Pilota",""
"INFO_RACE_TEAM","Squadra",""
"INFO_RACE_POS","Posizione",""
"INFO_RACE_PROGRESS","Progresso",""
"INFO_ACMEPOSSAVED","Posizione corrente salvata nello slot ACME {0}",""
"FOLLOWBTN_TOOLTIP","Avvia modalità Segui",""
"WALKTHRUBTN_TEXT","Avvia Passeggiata",""
"ALLSETTINGSBTN_TEXT","Tutte le impostazioni",""
"MAINPANELBTN_TOOLTIP","Telecamera FPS","That is the localized short name of this mod."
